OAI_ID ; DOC_ID ; AS ; URI ; PREFLABEL ; SCORE
oai:beeldengeluid.nl:Expressie:4230833;/201412/203332/391777/4230833;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/39926;Nieuw-Zeeland;14
oai:beeldengeluid.nl:Expressie:4230833;/201412/203332/391777/4230833;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/35939;Hamilton (Nieuw-Zeeland);14
oai:beeldengeluid.nl:Expressie:4230833;/201412/203332/391777/4230833;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/44665;Wellington;8
oai:beeldengeluid.nl:Expressie:4230833;/201412/203332/391777/4230833;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/33900;Costa Rica;3
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28837;koraal;8
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27956;boeken;3
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/233902;webcams;3
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28957;sociale klassen;2
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28837;koraal;2
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26609;reclame;2
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27822;vogels;2
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26879;syndroom van Down;4
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/40003;Noord-Brabant;2
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/36223;Herengracht (Den Haag);3
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/36870;Javastraat (Den Haag);3
oai:beeldengeluid.nl:Expressie:4233515;/16414/16434/16434/4233515;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/37877;Krim;4
oai:beeldengeluid.nl:Expressie:4233358;/16414/16435/16435/4233358;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27859;wind;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/85615;Brandt Corstius, Hugo;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/75501;Advocaat, Dick;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/231790;Hoorn, Mike van der;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/111762;Hoorn, R.J.G.A. van der;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/35192;Frankrijk;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/37877;Krim;3
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/42537;Simferopol;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;Namen;http://data.beeldengeluid.nl/gtaa/49947;de Volkskrant;2
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;Namen;http://data.beeldengeluid.nl/gtaa/47248;AZ;4
oai:beeldengeluid.nl:Expressie:4230438;/16414/16435/16435/4230438;Namen;http://data.beeldengeluid.nl/gtaa/45929;Ajax;5
oai:beeldengeluid.nl:Expressie:4209368;/17211/17331/392298/4209368;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28496;componisten;2
oai:beeldengeluid.nl:Expressie:4209368;/17211/17331/392298/4209368;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29084;geluk;2
oai:beeldengeluid.nl:Expressie:4209368;/17211/17331/392298/4209368;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/145286;Reinemann, Udo;3
oai:beeldengeluid.nl:Expressie:4090275;/343126/347813/387007/4090275;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28180;politie;5
oai:beeldengeluid.nl:Expressie:4090275;/343126/347813/387007/4090275;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28180;politie;2
oai:beeldengeluid.nl:Expressie:4090275;/343126/347813/387007/4090275;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/31711;Apeldoorn;4
oai:beeldengeluid.nl:Expressie:4233135;/16414/16435/16435/4233135;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/37877;Krim;4
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28298;hockey;5
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28701;vakantie;3
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26778;spieren;2
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/39819;New York (stad);2
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/212712;New York (staat);2
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/36352;Hoboken (New York);2
oai:beeldengeluid.nl:Expressie:4230752;/350888/355673/399307/4230752;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/35192;Frankrijk;2
oai:beeldengeluid.nl:Expressie:4233225;/20925/20945/394135/4233225;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/78230;Ark, Willem van der;6
oai:beeldengeluid.nl:Expressie:4233863;/345459/350177/393896/4233863;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25928;huiswerk;2
oai:beeldengeluid.nl:Expressie:4233863;/345459/350177/393896/4233863;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26730;slapen;2
oai:beeldengeluid.nl:Expressie:4233866;/45541/230443/399469/4233866;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27895;torens;4
oai:beeldengeluid.nl:Expressie:4233866;/45541/230443/399469/4233866;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29084;geluk;2
oai:beeldengeluid.nl:Expressie:4233866;/45541/230443/399469/4233866;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/161235;Tol, Kees;4
oai:beeldengeluid.nl:Expressie:4233866;/45541/230443/399469/4233866;Namen;http://data.beeldengeluid.nl/gtaa/74721;Wie is wie;8
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25529;discriminatie;17
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26331;moslims;12
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26440;oosterse kerken;3
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27806;video;3
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29946;bedreigingen;2
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27871;klimaat;2
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25641;etnische minderheden;2
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29503;religieuze minderheden;2
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26331;moslims;2
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28541;vrijheid van meningsuiting;2
oai:beeldengeluid.nl:Expressie:4233350;/357524/362458/399144/4233350;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/38997;Maassluis;2
